Site,date,windSpeed,windBearing,windCat,date_j
ErieB,2016-05-08,4.573333333333333,301.8888888888889,0,129
ErieB,2016-05-09,2.2644444444444445,139.22222222222223,0,130
ErieB,2016-05-10,4.178888888888888,69.44444444444444,0,131
ErieB,2016-05-11,3.2711111111111113,103.44444444444444,0,132
ErieB,2016-05-12,3.76,152.77777777777777,0,133
ErieB,2016-05-13,8.796666666666667,227,3,134
ErieB,2016-05-14,8.338888888888889,223.88888888888889,2,135
ErieB,2016-05-15,11.07,278.1111111111111,3,136
ErieB,2016-05-16,10.068888888888889,248.66666666666666,3,137
ErieB,2016-05-17,4.197777777777778,187.44444444444446,0,138
ErieB,2016-05-18,4.205555555555556,122.55555555555556,0,139
ErieB,2016-05-19,2.721111111111111,198.33333333333334,0,140
ErieB,2016-05-20,1.8877777777777778,147.44444444444446,0,141
